positionlabel,position
"Ministre de l'Agriculture, de la Pêche et du Développement rural",Q114667916
Ministre de l'Éducation et de l'Enseignement supérieur,Q114667918
"Ministre de la Jeunesse, du Sport et de l'Entrepreneuriat",Q114667920
"Ministre de la Planification, des Finances et de l'Économie bleue",Q114667922
"Ministre de la Présidence du Conseil des ministres, des Nouvelles technologies et des Affaires parlementaires",Q114667925
Ministre de la Santé,Q112625076
Ministre des Infrastructures et des Ressources naturelles,Q114667927
"Ministre du Tourisme, de la Culture, du Commerce et de l'Industrie",Q114667928
"Ministre du Travail, de la Solidarité, de la Famille et de la Formation professionnelle",Q114667929
"Secrétaire d'État aux Travaux publics, à l'Aménagement du territoire et à l'Environnement",Q114667932
"Secrétaire d'État à la Communication sociale, Porte-parole du Conseil des ministres",Q114667936
Secrétaires d'État au Commerce et au Tourisme,Q114667941
