item,itemLabel,position,positionLabel,startDate,endDate
,Ilza Amado Vaz,,"Ministre de la Justice, de l'Administration publique et des Droits de l'Homme",,
,Gareth Santo Guadalupe,,Ministre de la Présidence du Conseil des ministres et des Affaires parlementaires,,
,Alberto Neto Pereira,,"Ministre des Affaires étrangères, de la Coopération et des Communautés",,
Q106904935,Jorge Amado,,Ministre de la Défense et de l'Administration interne,,
,Abel Bom Jesus,,"Ministre de l'Agriculture, du Développement rural et de la Pêche",,
,Genésio da Mata,,"Ministre de la Planification, des Finances et de l'Économie bleue",,
,Celsio Junqueira,,"Ministre de la Santé, du Travail et des Affaires sociales",,
,Isabel de Abreu,,"Ministre de l'Éducation, de la Culture et des Sciences",,
,Adelino Rosa Cardoso,,"Ministre des Infrastructures, des Ressources naturelles et de l'Environnement",,
,Eurídice Medeiros,,Ministre de la Jeunesse et des Sports,,
,Maria Pina Delgado,,Ministre des Droits des femmes,,
