pageid,title,wikidata,label
16896759,Adelino Lucas,Q4681971,Adelino Lucas
59532980,Jorge Bom Jesus,Q57085436,Jorge Bom Jesus
65596338,Edite Tenjua,Q99510744,Edite Ten Juá
68450389,Carlos Vila Nova,Q27982047,Carlos Vila Nova
