who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
68450389,President of São Tomé and Príncipe,5th President of São Tomé and Príncipe,2021-10-02,,Q709734,Evaristo Carvalho,,,0
68450389,,"Minister of Infrastructure, Natural Resources and the Environment",2014-11-25,2018-12-03,Fernando da Silva Maquengo de Freitas,Fernando da Silva Maquengo de Freitas,Osvaldo Abreu,Osvaldo Abreu,1
68450389,,Minister of Public Works and Natural Resources,2010-08-15,2012-12-12,,,,,2
68450389,National Assembly (São Tomé and Príncipe),Deputy,2018-11-22,,,,,,3
