item,itemLabel,position,positionLabel,startDate,endDate
Q99510744,Edite Ten Juá,,"Ministre des Affaires étrangères, de la Coopération et des Communautés",,
Q30118193,Osvaldo Abreu,,Ministre des Infrastructures et des Ressources naturelles,,
,Engrácio da Graça,,"Ministre de la Planification, des Finances et de l'Économie bleue",,
Q106904935,Jorge Amado,,Ministre de la Défense nationale,,
,Cilcio dos Santos,,"Ministre de la Justice, de l'Administration publique et des Droits de l'Homme",,
,Francisco dos Ramos,,"Ministre de l'Agriculture, de la Pêche et du Développement rural",,
,Wuando Castro,,"Ministre de la Présidence du Conseil des ministres, des Nouvelles technologies et des Affaires parlementaires",,
,Julieta Izidro Rodrigues,,Ministre de l'Éducation et de l'Enseignement supérieur,,
,Aerton do Rosário,,Ministre du Tourisme et de la Culture,,
,Filomena Monteiro,,Ministre de la Santé,,
,Adlander Costa Matos,,"Ministre du Travail, de la Solidarité, de la Famille et de la Formation professionnelle",,
,Vinicius Xavier de Pina,,"Ministre de la Jeunesse, du Sport et de l'Entrepreneuriat",,
Q4681971,Adelino Lucas,,"Secrétaire d'État à la Communication sociale, Porte-parole du Conseil des ministres",,
,Eugénio António da Graça,,Secrétaires d'État au Commerce et au Tourisme,,
,Ernestino da Costa Gomes,,"Secrétaire d'État aux Travaux publics, à l'Aménagement du territoire et à l'Environnement",,
