item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q106548351,Wuando Castro,Q114667925,"Ministre de la Présidence du Conseil des ministres, des Nouvelles technologies et des Affaires parlementaires",2018-12-03,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q106548351-25A318F4-769A-4712-8E43-392807E3063F
Q106904935,Jorge Amado,Q114667368,Ministre de la Défense nationale,2022-02-02,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q106904935-346E2D4B-CEB8-4173-8339-B56CEBA46869
Q114668023,Adlander Costa Matos,Q114667929,"Ministre du Travail, de la Solidarité, de la Famille et de la Formation professionnelle",2018-12-03,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q114668023-B6C10BB9-24C8-4C0D-B7D0-0F66F0DB9A64
Q114668025,Engrácio da Graça,Q114667922,"Ministre de la Planification, des Finances et de l'Économie bleue",2021-10-13,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q114668025-21DF88B8-65C0-4035-8937-EB884349F9A2
Q114668026,Ernestino da Costa Gomes,Q114667932,"Secrétaire d'État aux Travaux publics, à l'Aménagement du territoire et à l'Environnement",2022-02-02,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q114668026-FAF18F5B-CE59-41CB-B008-B00D6BC17587
Q114668027,Eugénio António da Graça,Q114667941,Secrétaires d'État au Commerce et au Tourisme,2018-12-03,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q114668027-EBAB0BC0-8560-4A26-83FF-E698B6C2E8D7
Q114668028,Filomena Monteiro,Q112625076,Ministre de la Santé,2022-02-02,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q114668028-BCEDAC52-A198-40A1-842F-CD61B3441A59
Q114668029,Francisco dos Ramos,Q114667916,"Ministre de l'Agriculture, de la Pêche et du Développement rural",2018-12-03,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q114668029-9E28FFC0-503C-49BE-B3DE-D749B7A88DC4
Q114668030,Julieta Izidro Rodrigues,Q114667918,Ministre de l'Éducation et de l'Enseignement supérieur,2018-12-03,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q114668030-EAA7E57E-913F-4130-A911-D1952E982FA7
Q114668033,Vinicius Xavier de Pina,Q114667920,"Ministre de la Jeunesse, du Sport et de l'Entrepreneuriat",2018-12-03,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q114668033-2CBB53FF-943F-4D74-8502-8A8987243D95
Q30118193,Osvaldo Abreu,Q114667927,Ministre des Infrastructures et des Ressources naturelles,2018-12-03,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q30118193-ECFC7B45-DB76-4EF2-9203-18A97C17A3F1
Q4681971,Adelino Lucas,Q114667936,"Secrétaire d'État à la Communication sociale, Porte-parole du Conseil des ministres",2018-12-03,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q4681971-70FCB1C8-1718-4877-BD64-FCF4AAB34670
Q57085436,Jorge Bom Jesus,Q20551579,Premier ministre de Sao Tomé-et-Principe,2018-12-03,,,Q57085436-dabca941-4156-4032-afe3-44b58e423b09
Q99510744,Edite Ten Juá,Q976210,"Ministre des Affaires étrangères, de la Coopération et des Communautés",2020-09-19,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q99510744-266a57c1-4a38-2fbd-5604-3077ffdf01ba
Q99511621,Cilcio dos Santos,Q114667375,"Ministre de la Justice, de l'Administration publique et des Droits de l'Homme",2022-02-02,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q99511621-F109C8AC-6E6B-40C8-819D-DD76500AAFCB
Q99520496,Aerton do Rosário,Q114667928,Ministre du Tourisme et de la Culture,2020-09-19,,https://fr.wikipedia.org/wiki/XVIIe_gouvernement_constitutionnel_de_Sao_Tom%C3%A9-et-Principe,Q99520496-fb36f880-4512-4793-9986-ff056581397f
