item,itemLabel,startDate,endDate,sourceDate,psid
Q114667730,Paulo Jorge Rodrigues Espírito Santo,1996,2000,2022-10-14,Q114667730-633A9CE9-F677-41B4-94E6-B3C3682D9E6F
Q28497471,Alberto Paulino,1999,2001,2022-10-14,Q28497471-631E436F-18F9-4AFC-87A2-6437A59FF2DC
Q114667729,José Paquete D'Alva Teixeira,2001,2002,2022-10-14,Q114667729-CF7397B8-2F13-4DB7-B184-4480ECAA7634
Q111575515,Alda Alves Melo dos Santos,2002,2002,2022-10-14,Q111575515-CA01AC58-64FB-4FC0-94A7-652C05AE0CF1
Q26791754,Justino Veiga,2003,2004,2022-10-14,Q26791754-EE16467A-7C97-43C5-8114-23860D25955D
Q42626636,Elsa Pinto,2004,2006,,Q42626636-be54dcfc-442b-a72b-cbde-40a7f0149bdc
Q26791754,Justino Veiga,2006,2008,2022-10-14,Q26791754-9F2E4200-75F5-4E65-88AB-118B2BC5990E
Q6279294,José Carlos Barreiros,2008,2008,2022-10-14,Q6279294-7D815B46-0DC5-4E56-806D-E92AF1F3241A
Q114667725,Elísio D'Alva Teixeira,2010,2012,2022-10-14,Q114667725-7EC383A7-C371-4363-BBE4-5A540388D705
Q26791754,Justino Veiga,2010,2010,2022-10-14,Q26791754-9A56BC30-715E-41A7-B4A3-E888DDFDFFD3
Q99510744,Edite Ten Juá,2012,2014,2022-10-14,Q99510744-932799A3-A69F-4A65-9896-1F226F6413D0
Q114667731,Roberto Raposo,2014,2015,2022-10-14,Q114667731-E39B5210-5A22-4EBA-A56E-885C0889B4C1
Q114667727,Ilza Amado Vaz,2016,2018,2022-10-14,Q114667727-F570A9C4-2DD2-4BB3-A998-10B4E7BD0F8B
Q114667728,Ivete Santos Lima Correia,2018,2022,2022-10-14,Q114667728-82543DEF-69BB-4FBC-B8B9-F236FEB03774
Q99511621,Cilcio dos Santos,2022-02-02,,2022-10-14,Q99511621-F109C8AC-6E6B-40C8-819D-DD76500AAFCB
