item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q106548351,Wuando Borges Castro de Andrade,,,,,,false,,,,
Q106904935,Jorge Amado,,,,,,false,,,,
Q111575515,Alda Alves de Melo dos Santos,,,,,,false,,,,
Q114667725,Elísio D'Alva Teixeira,,,,,,false,,,,
Q114667727,Ilza Amado Vaz,,,,,,false,,,,
Q114667728,Ivete Santos Lima Correia,,,,,,false,,,,
Q114667729,José Paquete D'Alva Teixeira,,,,,,false,,,,
Q114667730,Paulo Jorge Rodrigues Espírito Santo,,,,,,false,,,,
Q114667731,Roberto Raposo,,,,,,false,,,,
Q114668023,Adlander Costa Matos,,,,,,false,,,,
Q114668025,Engrácio da Graça,,,,,,false,,,,
Q114668026,Ernestino da Costa Gomes,,,,,,false,,,,
Q114668027,Eugénio António da Graça,,,,,,false,,,,
Q114668028,Filomena Monteiro,,,,,,false,,,,
Q114668029,Francisco dos Ramos,,,,,,false,,,,
Q114668030,Julieta Izidro Rodrigues,,,,,,false,,,,
Q114668031,Maria da Graça Lavres,,,,,,false,,,,
Q114668033,Vinicius Xavier de Pina,,,,,,false,,,,
Q1158585,Damião Vaz d'Almeida,NormalRank,Q210636,Príncipe,true,true,true,false,false,false,true
Q1281014,Fernando Pereira,NormalRank,Q3932,São Tomé,true,true,true,false,false,false,true
Q1286743,Tomé Vera Cruz,NormalRank,Q7232692,Portuguese São Tomé and Príncipe,true,false,true,false,false,false,true
Q26791754,Justino Veiga,,,,,,false,,,,
Q271012,Fradique de Menezes,NormalRank,Q3932,São Tomé,true,true,true,false,false,false,true
Q27982047,Carlos Vila Nova,NormalRank,Q612376,Neves,true,true,true,false,false,true,true
Q27986398,Armindo Ramos,,,,,,false,,,,
Q27986410,Urbino Botelho,,,,,,false,,,,
Q28105143,Fernando Daqua,,,,,,false,,,,
Q28497468,Manuel Salvador dos Ramos,,,,,,false,,,,
Q28497470,Natália Pedro da Costa Umbelina Neto,NormalRank,Q1039,São Tomé and Príncipe,true,false,true,false,false,true,true
Q28497471,Alberto Paulino,,,,,,false,,,,
Q28497473,Paulo Jorge Espirito Santo,,,,,,false,,,,
Q2939360,Carlos Gustavo dos Anjos,,,,,,false,,,,
Q295049,Manuel Pinto da Costa,NormalRank,Q249742,Água Grande,true,true,true,false,false,false,true
Q30118193,Osvaldo Abreu,,,,,,false,,,,
Q3358982,Ovídio Manuel Barbosa Pequeno,,,,,,false,,,,
Q42626636,Elsa Teixeira Pinto,,,,,,false,,,,
Q441483,Maria do Carmo Silveira,NormalRank,Q7232692,Portuguese São Tomé and Príncipe,true,false,true,false,false,false,true
Q447911,Carlos Tiny,,,,,,false,,,,
Q454046,Maria das Neves,NormalRank,Q7232692,Portuguese São Tomé and Príncipe,true,false,true,false,false,false,true
Q459822,Patrice Trovoada,NormalRank,Q3825,Libreville,true,true,true,false,false,false,true
Q4681971,Adelino Lucas,,,,,,false,,,,
Q4713407,Alda Bandeira,NormalRank,Q1552353,Santana,true,true,true,false,false,false,true
Q4822692,Aurélio Martins,NormalRank,Q3932,São Tomé,true,true,true,false,false,false,true
Q504522,Miguel Trovoada,NormalRank,Q3932,São Tomé,true,true,true,false,false,false,true
Q5574245,Óscar Sousa,,,,,,false,,,,
Q57085436,Jorge Bom Jesus,NormalRank,Q249742,Água Grande,true,true,false,,,,
Q59535822,Victor Monteiro,NormalRank,Q44309220,"Agostinho Neto, São Tomé and Príncipe",true,true,false,,,,
Q59572738,Carlos Olímpio Stock,,,,,,false,,,,
Q6279294,Jose Carlos Barreiro,,,,,,false,,,,
Q64785138,Ekeneide dos Santos,,,,,,false,,,,
Q64785171,Abnildo Oliveira,,,,,,false,,,,
Q6786672,Mateus Meira Rita,,,,,,false,,,,
Q709734,Evaristo Carvalho,NormalRank,Q7232692,Portuguese São Tomé and Príncipe,true,false,true,false,false,false,true
Q718450,Joaquim Rafael Branco,NormalRank,Q7232692,Portuguese São Tomé and Príncipe,true,false,true,false,false,false,true
Q7296154,Raul Cravid,,,,,,false,,,,
Q867590,Gabriel Costa,NormalRank,Q210636,Príncipe,true,true,true,true,false,false,false
Q956967,Guilherme Posser da Costa,NormalRank,Q233124,São Tomé Island,true,true,true,false,false,false,true
Q99510744,Edite Ten Juá,NormalRank,Q1039,São Tomé and Príncipe,true,false,true,false,true,false,false
Q99511621,Cilcio dos Santos,,,,,,false,,,,
Q99520496,Aerton do Rosário,,,,,,false,,,,
