item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q106548351,NormalRank,Q6581097,true,false,,,,
Q106904935,NormalRank,Q6581097,true,false,,,,
Q111575515,NormalRank,Q6581072,true,false,,,,
Q114667725,,,,false,,,,
Q114667727,,,,false,,,,
Q114667728,,,,false,,,,
Q114667729,,,,false,,,,
Q114667730,,,,false,,,,
Q114667731,,,,false,,,,
Q114668023,NormalRank,Q6581097,true,false,,,,
Q114668025,NormalRank,Q6581097,true,false,,,,
Q114668026,NormalRank,Q6581097,true,false,,,,
Q114668027,NormalRank,Q6581097,true,false,,,,
Q114668028,NormalRank,Q6581072,true,false,,,,
Q114668029,NormalRank,Q6581097,true,false,,,,
Q114668030,NormalRank,Q6581072,true,false,,,,
Q114668031,,,,false,,,,
Q114668033,NormalRank,Q6581097,true,false,,,,
Q1158585,NormalRank,Q6581097,true,false,,,,
Q1281014,NormalRank,Q6581097,true,true,false,false,false,false
Q1286743,NormalRank,Q6581097,true,false,,,,
Q26791754,NormalRank,Q6581097,true,false,,,,
Q271012,NormalRank,Q6581097,true,true,false,false,false,true
Q271012,NormalRank,Q6581097,true,true,true,false,false,false
Q27982047,NormalRank,Q6581097,true,false,,,,
Q27986398,NormalRank,Q6581097,true,false,,,,
Q27986410,NormalRank,Q6581097,true,false,,,,
Q28105143,NormalRank,Q6581097,true,false,,,,
Q28497468,NormalRank,Q6581097,true,false,,,,
Q28497470,NormalRank,Q6581072,true,false,,,,
Q28497471,NormalRank,Q6581097,true,false,,,,
Q28497473,NormalRank,Q6581097,true,false,,,,
Q2939360,NormalRank,Q6581097,true,false,,,,
Q295049,NormalRank,Q6581097,true,true,false,false,false,true
Q295049,NormalRank,Q6581097,true,true,true,false,false,false
Q30118193,NormalRank,Q6581097,true,false,,,,
Q3358982,NormalRank,Q6581097,true,false,,,,
Q42626636,NormalRank,Q6581072,true,true,false,false,false,true
Q441483,NormalRank,Q6581072,true,true,false,false,false,true
Q447911,NormalRank,Q6581097,true,false,,,,
Q454046,NormalRank,Q6581072,true,true,true,false,false,false
Q454046,NormalRank,Q6581072,true,true,false,false,false,true
Q459822,NormalRank,Q6581097,true,false,,,,
Q4681971,NormalRank,Q6581097,true,false,,,,
Q4713407,NormalRank,Q6581072,true,true,true,false,false,false
Q4713407,NormalRank,Q6581072,true,true,false,false,false,true
Q4822692,NormalRank,Q6581097,true,false,,,,
Q504522,NormalRank,Q6581097,true,true,false,false,false,true
Q504522,NormalRank,Q6581097,true,true,true,false,false,false
Q5574245,NormalRank,Q6581097,true,false,,,,
Q57085436,NormalRank,Q6581097,true,false,,,,
Q59535822,NormalRank,Q6581097,true,false,,,,
Q59572738,NormalRank,Q6581097,true,false,,,,
Q6279294,NormalRank,Q6581097,true,false,,,,
Q64785138,NormalRank,Q6581097,true,false,,,,
Q64785171,NormalRank,Q6581097,true,false,,,,
Q6786672,NormalRank,Q6581097,true,false,,,,
Q709734,NormalRank,Q6581097,true,false,,,,
Q718450,NormalRank,Q6581097,true,false,,,,
Q7296154,NormalRank,Q6581097,true,false,,,,
Q867590,NormalRank,Q6581097,true,false,,,,
Q956967,NormalRank,Q6581097,true,false,,,,
Q99510744,NormalRank,Q6581072,true,false,,,,
Q99511621,NormalRank,Q6581097,true,false,,,,
Q99520496,NormalRank,Q6581097,true,false,,,,
