item,itemLabel,startDate,endDate
Q28497473,Paulo Jorge Espirito Santo,1999-07,2000-04-05
Q718450,Rafael Branco,2000,2001
Q459822,Patrice Trovoada,2001,2002-02
Q6786672,Mateus Meira Rita,2002-02,2002-03-08
Q4713407,Alda Bandeira,2002-03-08,2002-10-07
Q6786672,Mateus Meira Rita,2002-10-07,2004-03-08
Q5574245,Óscar Sousa,2004-03-08,2004-03-30
Q3358982,Ovídio Pequeño,2004-03-30,2006-01-16
Q5574245,Óscar Sousa,2006-01-16,2006-04
Q2939360,Carlos Gustavo dos Anjos,2006-04-21,2007-11-20
Q3358982,Ovídio Pequeño,2007-11-20,2008
Q447911,Carlos Tiny,2008-06,2010-08
Q28497468,Manuel Salvador dos Ramos,2010-08,2012-12-12
Q28497470,Natália Pedro da Costa Umbelina Neto,2012-12-12,2014-11-24
Q28497468,Manuel Salvador dos Ramos,2014-11,2016-10-18
Q27986410,Urbino Botelho,2016-10-18,2018-12-03
Q42626636,Elsa Pinto,2018-12-03,2020-09-19
Q99510744,Edite Ten Juá,2020-09-19,
