position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q121998,ambassador,,,2,Q3358982
Q30185,mayor,Água Grande,municipality,1,Q64785138
Q1255921,president,Party of Stability and Social Progress,organization,1,Q718450
Q30461,president,groupe Action démocratique indépendante,,1,Q64785171
Q42178,vice president,Independent Democratic Action,,1,Q64785138
Q42178,vice president,groupe Action démocratique indépendante,,1,Q64785138
